playerID,award,year
thompti01w,ASGMVP,1
leslili01w,ASGMVP,2
leslili01w,ASGMVP,3
teaslni01w,ASGMVP,4
swoopsh01w,ASGMVP,6
douglka01w,ASGMVP,7
fordch01w,ASGMVP,8
cashsw01w,ASGMVP,10
swoopsh01w,DPOTY,1
blackde01w,DPOTY,2
swoopsh01w,DPOTY,3
swoopsh01w,DPOTY,4
leslili01w,DPOTY,5
catchta01w,DPOTY,6
catchta01w,DPOTY,7
jacksla01w,DPOTY,8
leslili01w,DPOTY,9
catchta01w,DPOTY,10
lawsoka01w,KPSA,10
mcconsu01w,KPSA,1
wickssu01w,KPSA,2
gilloje01w,KPSA,3
campbed01w,KPSA,4
edwarte01w,KPSA,5
mcwilta01w,KPSA,6
staleda01w,KPSA,7
beviltu01w,KPSA,8
johnsvi01w,KPSA,9
phillta01w,MIP,1
arcaija01w,MIP,2
milleco01w,MIP,3
snowmi01w,MIP,4
milleke01w,MIP,5
palmewe01w,MIP,5
mccarja01w,MIP,8
hoffmeb01w,MIP,9
langhcr01w,MIP,10
swoopsh01w,MVP,1
leslili01w,MVP,2
swoopsh01w,MVP,3
jacksla01w,MVP,4
leslili01w,MVP,5
swoopsh01w,MVP,6
leslili01w,MVP,7
jacksla01w,MVP,8
parkeca01w,MVP,9
tauradi01w,MVP,10
lennobe01w,ROTY,1
stileja01w,ROTY,2
catchta01w,ROTY,3
fordch01w,ROTY,4
tauradi01w,ROTY,5
johnste01w,ROTY,6
augusse01w,ROTY,7
pricear01w,ROTY,8
parkeca01w,ROTY,9
mccouan01w,ROTY,10
pierspl01w,SWOTY,8
wiggica01w,SWOTY,9
bonnede01w,SWOTY,10
coopecy01w,WFMVP,1
leslili01w,WFMVP,2
leslili01w,WFMVP,3
rileyru01w,WFMVP,4
lennobe01w,WFMVP,5
griffyo01w,WFMVP,6
nolande01w,WFMVP,7
pondeca01w,WFMVP,8
smithka01w,WFMVP,9
tauradi01w,WFMVP,10
birdsu01w,WADT,7
catchta01w,WADT,7
coopecy01w,WADT,7
griffyo01w,WADT,7
jacksla01w,WADT,7
leslili01w,WADT,7
smithka01w,WADT,7
staleda01w,WADT,7
swoopsh01w,WADT,7
thompti01w,WADT,7
boltoru01w,WADTHM,7
holdsch01w,WADTHM,7
penicti01w,WADTHM,7
tauradi01w,WADTHM,7
weathte01w,WADTHM,7
